id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-06-05T22:37:17;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-06-06T02:34:09;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-06-05T11:37:33;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-06-05T07:07:10;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-06-06T01:45:04;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-06-05T10:31:16;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-06-05T13:01:24;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-06-06T03:04:48;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-06-05T18:25:27;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-06-05T07:05:37;32637;8639
